34.txt,2400,0.04902529716491699
15.txt,2400,0.04832863807678223
43.txt,2673,0.049503326416015625
21.txt,1535,0.050676584243774414
40.txt,1420,0.049092769622802734
22.txt,1221,0.048859357833862305
46.txt,2400,0.04897356033325195
41.txt,1450,0.048892974853515625
30.txt,2260,0.049304962158203125
36.txt,3733,0.0491180419921875
17.txt,2001,0.04825139045715332
0.txt,2220,0.04890179634094238
27.txt,2726,0.04948258399963379
8.txt,1619,0.04857134819030762
29.txt,1377,0.04833078384399414
44.txt,2847,0.04932069778442383
7.txt,3420,0.049344778060913086
5.txt,2047,0.04915022850036621
39.txt,1200,0.04921126365661621
45.txt,2400,0.04915308952331543
12.txt,2400,0.04958844184875488
16.txt,2367,0.049721479415893555
26.txt,2400,0.049486398696899414
10.txt,1477,0.048902034759521484
48.txt,2634,0.049233198165893555
2.txt,2400,0.04758000373840332
32.txt,2154,0.048320770263671875
3.txt,3262,0.049100399017333984
13.txt,3075,0.04974865913391113
42.txt,2355,0.04795122146606445
14.txt,2412,0.048858642578125
9.txt,1666,0.04854178428649902
33.txt,2400,0.049497127532958984
23.txt,1438,0.04932975769042969
28.txt,2903,0.04981112480163574
47.txt,2363,0.0477910041809082
38.txt,1541,0.04837465286254883
49.txt,2400,0.04786205291748047
20.txt,2698,0.05136823654174805
37.txt,2402,0.0535883903503418
4.txt,2400,0.05275559425354004
11.txt,1983,0.05439615249633789
19.txt,2400,0.05040335655212402
31.txt,1577,0.04911017417907715
1.txt,2033,0.048455238342285156
6.txt,2636,0.05424094200134277
18.txt,1588,0.04857444763183594
24.txt,2400,0.04935717582702637
25.txt,3167,0.04839754104614258
35.txt,2400,0.04815864562988281
