34.txt,21984.0,0.0004627704620361328
15.txt,18323.0,0.0004608631134033203
43.txt,20275.0,0.0004780292510986328
21.txt,17431.0,0.0005817413330078125
40.txt,19989.0,0.00045561790466308594
22.txt,17699.0,0.00045371055603027344
46.txt,20741.0,0.0005204677581787109
41.txt,17750.0,0.00046372413635253906
30.txt,19914.0,0.0005931854248046875
36.txt,18703.0,0.0004544258117675781
17.txt,19861.0,0.0004611015319824219
0.txt,19056.0,0.0007770061492919922
27.txt,17258.0,0.00044846534729003906
8.txt,17502.0,0.00047707557678222656
29.txt,20488.0,0.0005042552947998047
44.txt,16026.0,0.0004646778106689453
7.txt,21637.0,0.00045180320739746094
5.txt,20244.0,0.0004966259002685547
39.txt,15591.0,0.0004773139953613281
45.txt,19133.0,0.0004725456237792969
12.txt,19558.0,0.0005521774291992188
16.txt,16701.0,0.00045180320739746094
26.txt,19207.0,0.0005021095275878906
10.txt,19215.0,0.00045943260192871094
48.txt,19103.0,0.0004534721374511719
2.txt,18136.0,0.00045752525329589844
32.txt,19495.0,0.00045752525329589844
3.txt,19878.0,0.00047135353088378906
13.txt,20674.0,0.0004544258117675781
42.txt,20231.0,0.00046324729919433594
14.txt,15951.0,0.00044798851013183594
9.txt,22561.0,0.0004563331604003906
33.txt,19757.0,0.0004611015319824219
23.txt,19644.0,0.0008091926574707031
28.txt,16474.0,0.00046253204345703125
47.txt,20067.0,0.00045228004455566406
38.txt,18510.0,0.00044918060302734375
49.txt,16676.0,0.0004589557647705078
20.txt,17402.0,0.0011250972747802734
37.txt,20229.0,0.0004723072052001953
4.txt,16531.0,0.0005249977111816406
11.txt,21455.0,0.0004980564117431641
19.txt,18590.0,0.0005738735198974609
31.txt,17539.0,0.0005221366882324219
1.txt,18399.0,0.000453948974609375
6.txt,16466.0,0.000457763671875
18.txt,19907.0,0.0004591941833496094
24.txt,18958.0,0.0005288124084472656
25.txt,21906.0,0.00045561790466308594
35.txt,18925.0,0.0005273818969726562
